doc_id,section_title,section_text,policy_type,version,jurisdiction,severity_default,tags
P022,Leave During Probation,"This section describes the rules and practices related to leave during probation for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. This section may be reviewed and updated as business or legal requirements evolve. Managers should apply this rule consistently across their teams to avoid perceived bias.",leave,v1,GLOBAL,medium,"leave, during, probation"
P023,Loss of Pay Definition,"This section describes the rules and practices related to loss of pay definition for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Employees are expected to review this clause before raising queries with HR. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Leave balances and related transactions will be visible in the Leave Management System (LMS). Failure to follow this rule may result in the leave being treated as Loss of Pay.",leave,v1,GLOBAL,medium,"loss, of, pay, definition"
P024,Loss of Pay Procedure,"This section describes the rules and practices related to loss of pay procedure for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. This section may be reviewed and updated as business or legal requirements evolve. Leave balances and related transactions will be visible in the Leave Management System (LMS). Managers should apply this rule consistently across their teams to avoid perceived bias. Employees are expected to review this clause before raising queries with HR.",leave,v1,GLOBAL,medium,"loss, of, pay, procedure"
P025,Blackout Periods for Leave,"This section describes the rules and practices related to blackout periods for leave for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. This section may be reviewed and updated as business or legal requirements evolve. Exceptions may be granted only with prior written approval from the appropriate authority. Employees are encouraged to plan planned leave well in advance to support project scheduling.",leave,v1,GLOBAL,medium,"blackout, periods, for, leave"
P026,Leave Application Process,"This section describes the rules and practices related to leave application process for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Employees are encouraged to plan planned leave well in advance to support project scheduling. Leave balances and related transactions will be visible in the Leave Management System (LMS). This section may be reviewed and updated as business or legal requirements evolve. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",leave,v1,GLOBAL,medium,"leave, application, process"
P027,Approval Workflow for Long Leave,"This section describes the rules and practices related to approval workflow for long leave for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Managers should apply this rule consistently across their teams to avoid perceived bias. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Exceptions may be granted only with prior written approval from the appropriate authority. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"approval, workflow, for, long, leave"
P028,Final Settlement Leave Encashment,"This section describes the rules and practices related to final settlement leave encashment for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Failure to follow this rule may result in the leave being treated as Loss of Pay. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. This section may be reviewed and updated as business or legal requirements evolve. Employees are encouraged to plan planned leave well in advance to support project scheduling.",leave,v1,GLOBAL,medium,"final, settlement, leave, encashment"
P029,Annual Leave Eligibility,"This section describes the rules and practices related to annual leave eligibility for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Leave balances and related transactions will be visible in the Leave Management System (LMS). Failure to follow this rule may result in the leave being treated as Loss of Pay. Managers should apply this rule consistently across their teams to avoid perceived bias. Exceptions may be granted only with prior written approval from the appropriate authority.",leave,v1,GLOBAL,medium,"annual, leave, eligibility"
P030,Annual Leave Accrual,"This section describes the rules and practices related to annual leave accrual for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees are encouraged to plan planned leave well in advance to support project scheduling. Employees are expected to review this clause before raising queries with HR. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"annual, leave, accrual"
P031,Annual Leave Carry Forward,"This section describes the rules and practices related to annual leave carry forward for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. Managers should apply this rule consistently across their teams to avoid perceived bias. This section may be reviewed and updated as business or legal requirements evolve. Failure to follow this rule may result in the leave being treated as Loss of Pay.",leave,v1,GLOBAL,medium,"annual, leave, carry, forward"
P032,Annual Leave Encashment,"This section describes the rules and practices related to annual leave encashment for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Leave balances and related transactions will be visible in the Leave Management System (LMS). Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Failure to follow this rule may result in the leave being treated as Loss of Pay.",leave,v1,GLOBAL,medium,"annual, leave, encashment"
P033,Casual Leave Entitlement,"This section describes the rules and practices related to casual leave entitlement for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Employees are encouraged to plan planned leave well in advance to support project scheduling. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Failure to follow this rule may result in the leave being treated as Loss of Pay. Employees are expected to review this clause before raising queries with HR.",leave,v1,GLOBAL,medium,"casual, leave, entitlement"
P034,Casual Leave Utilization,"This section describes the rules and practices related to casual leave utilization for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Leave balances and related transactions will be visible in the Leave Management System (LMS). This section may be reviewed and updated as business or legal requirements evolve.",leave,v1,GLOBAL,medium,"casual, leave, utilization"
P035,Sick Leave Conversion to Loss of Pay,"This section describes the rules and practices related to sick leave conversion to loss of pay for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. This section may be reviewed and updated as business or legal requirements evolve. Exceptions may be granted only with prior written approval from the appropriate authority. Managers should apply this rule consistently across their teams to avoid perceived bias. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",leave,v1,GLOBAL,medium,"sick, leave, conversion, to, loss, of, pay"
P036,Leave During Probation,"This section describes the rules and practices related to leave during probation for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees are encouraged to plan planned leave well in advance to support project scheduling. Employees are expected to review this clause before raising queries with HR. This section may be reviewed and updated as business or legal requirements evolve.",leave,v1,GLOBAL,medium,"leave, during, probation"
P037,Loss of Pay Definition,"This section describes the rules and practices related to loss of pay definition for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Managers should apply this rule consistently across their teams to avoid perceived bias. Failure to follow this rule may result in the leave being treated as Loss of Pay. Employees are expected to review this clause before raising queries with HR.",leave,v1,GLOBAL,medium,"loss, of, pay, definition"
P038,Loss of Pay Procedure,"This section describes the rules and practices related to loss of pay procedure for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Exceptions may be granted only with prior written approval from the appropriate authority. Managers should apply this rule consistently across their teams to avoid perceived bias.",leave,v1,GLOBAL,medium,"loss, of, pay, procedure"
P039,Blackout Periods for Leave,"This section describes the rules and practices related to blackout periods for leave for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees are expected to review this clause before raising queries with HR. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Failure to follow this rule may result in the leave being treated as Loss of Pay.",leave,v1,GLOBAL,medium,"blackout, periods, for, leave"
P040,Leave Application Process,"This section describes the rules and practices related to leave application process for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Employees are encouraged to plan planned leave well in advance to support project scheduling. Employees are expected to review this clause before raising queries with HR. Failure to follow this rule may result in the leave being treated as Loss of Pay. Managers should apply this rule consistently across their teams to avoid perceived bias.",leave,v1,GLOBAL,medium,"leave, application, process"
P041,Approval Workflow for Long Leave,"This section describes the rules and practices related to approval workflow for long leave for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Employees are expected to review this clause before raising queries with HR. Exceptions may be granted only with prior written approval from the appropriate authority.",leave,v1,GLOBAL,medium,"approval, workflow, for, long, leave"
P042,Final Settlement Leave Encashment,"This section describes the rules and practices related to final settlement leave encashment for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. Failure to follow this rule may result in the leave being treated as Loss of Pay. This section may be reviewed and updated as business or legal requirements evolve. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",leave,v1,GLOBAL,medium,"final, settlement, leave, encashment"
P043,Annual Leave Eligibility,"This section describes the rules and practices related to annual leave eligibility for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. Managers should apply this rule consistently across their teams to avoid perceived bias. Failure to follow this rule may result in the leave being treated as Loss of Pay. This section may be reviewed and updated as business or legal requirements evolve.",leave,v1,GLOBAL,medium,"annual, leave, eligibility"
P044,Annual Leave Accrual,"This section describes the rules and practices related to annual leave accrual for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Employees are encouraged to plan planned leave well in advance to support project scheduling. Managers should apply this rule consistently across their teams to avoid perceived bias. Failure to follow this rule may result in the leave being treated as Loss of Pay. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",leave,v1,GLOBAL,medium,"annual, leave, accrual"
P045,Annual Leave Carry Forward,"This section describes the rules and practices related to annual leave carry forward for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Leave balances and related transactions will be visible in the Leave Management System (LMS). Where this policy conflicts with statutory requirements, the statutory requirement will prevail. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. This section may be reviewed and updated as business or legal requirements evolve.",leave,v1,GLOBAL,medium,"annual, leave, carry, forward"
P046,Annual Leave Encashment,"This section describes the rules and practices related to annual leave encashment for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Failure to follow this rule may result in the leave being treated as Loss of Pay. This section may be reviewed and updated as business or legal requirements evolve.",leave,v1,GLOBAL,medium,"annual, leave, encashment"
P047,Casual Leave Entitlement,"This section describes the rules and practices related to casual leave entitlement for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. This section may be reviewed and updated as business or legal requirements evolve. Employees are encouraged to plan planned leave well in advance to support project scheduling. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",leave,v1,GLOBAL,medium,"casual, leave, entitlement"
P048,Casual Leave Utilization,"This section describes the rules and practices related to casual leave utilization for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Failure to follow this rule may result in the leave being treated as Loss of Pay. Employees are expected to review this clause before raising queries with HR.",leave,v1,GLOBAL,medium,"casual, leave, utilization"
P049,Sick Leave Conversion to Loss of Pay,"This section describes the rules and practices related to sick leave conversion to loss of pay for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. This section may be reviewed and updated as business or legal requirements evolve. Employees are expected to review this clause before raising queries with HR. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"sick, leave, conversion, to, loss, of, pay"
P050,Leave During Probation,"This section describes the rules and practices related to leave during probation for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Failure to follow this rule may result in the leave being treated as Loss of Pay. Employees are expected to review this clause before raising queries with HR. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"leave, during, probation"
P051,Loss of Pay Definition,"This section describes the rules and practices related to loss of pay definition for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Employees are expected to review this clause before raising queries with HR. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Failure to follow this rule may result in the leave being treated as Loss of Pay. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"loss, of, pay, definition"
P052,Loss of Pay Procedure,"This section describes the rules and practices related to loss of pay procedure for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. This section may be reviewed and updated as business or legal requirements evolve. Exceptions may be granted only with prior written approval from the appropriate authority. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Employees are encouraged to plan planned leave well in advance to support project scheduling.",leave,v1,GLOBAL,medium,"loss, of, pay, procedure"
P053,Blackout Periods for Leave,"This section describes the rules and practices related to blackout periods for leave for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Employees are encouraged to plan planned leave well in advance to support project scheduling. Exceptions may be granted only with prior written approval from the appropriate authority. Failure to follow this rule may result in the leave being treated as Loss of Pay.",leave,v1,GLOBAL,medium,"blackout, periods, for, leave"
P054,Leave Application Process,"This section describes the rules and practices related to leave application process for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees are encouraged to plan planned leave well in advance to support project scheduling. Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",leave,v1,GLOBAL,medium,"leave, application, process"
P055,Approval Workflow for Long Leave,"This section describes the rules and practices related to approval workflow for long leave for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Leave balances and related transactions will be visible in the Leave Management System (LMS). Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Employees are expected to review this clause before raising queries with HR. Failure to follow this rule may result in the leave being treated as Loss of Pay.",leave,v1,GLOBAL,medium,"approval, workflow, for, long, leave"
P056,Final Settlement Leave Encashment,"This section describes the rules and practices related to final settlement leave encashment for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Leave balances and related transactions will be visible in the Leave Management System (LMS). This section may be reviewed and updated as business or legal requirements evolve. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Failure to follow this rule may result in the leave being treated as Loss of Pay.",leave,v1,GLOBAL,medium,"final, settlement, leave, encashment"
P057,Annual Leave Eligibility,"This section describes the rules and practices related to annual leave eligibility for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Employees are encouraged to plan planned leave well in advance to support project scheduling. Employees are expected to review this clause before raising queries with HR. This section may be reviewed and updated as business or legal requirements evolve. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"annual, leave, eligibility"
P058,Annual Leave Accrual,"This section describes the rules and practices related to annual leave accrual for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. Employees are expected to review this clause before raising queries with HR. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. This section may be reviewed and updated as business or legal requirements evolve.",leave,v1,GLOBAL,medium,"annual, leave, accrual"
P059,Annual Leave Carry Forward,"This section describes the rules and practices related to annual leave carry forward for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. This section may be reviewed and updated as business or legal requirements evolve. Exceptions may be granted only with prior written approval from the appropriate authority. Employees are encouraged to plan planned leave well in advance to support project scheduling. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"annual, leave, carry, forward"
P060,Annual Leave Encashment,"This section describes the rules and practices related to annual leave encashment for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Employees are encouraged to plan planned leave well in advance to support project scheduling. Exceptions may be granted only with prior written approval from the appropriate authority. Failure to follow this rule may result in the leave being treated as Loss of Pay.",leave,v1,GLOBAL,medium,"annual, leave, encashment"
P061,Casual Leave Entitlement,"This section describes the rules and practices related to casual leave entitlement for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Managers should apply this rule consistently across their teams to avoid perceived bias. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Exceptions may be granted only with prior written approval from the appropriate authority.",leave,v1,GLOBAL,medium,"casual, leave, entitlement"
P062,Casual Leave Utilization,"This section describes the rules and practices related to casual leave utilization for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. Employees are encouraged to plan planned leave well in advance to support project scheduling. Leave balances and related transactions will be visible in the Leave Management System (LMS). All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",leave,v1,GLOBAL,medium,"casual, leave, utilization"
P063,Sick Leave Conversion to Loss of Pay,"This section describes the rules and practices related to sick leave conversion to loss of pay for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. Employees are expected to review this clause before raising queries with HR. This section may be reviewed and updated as business or legal requirements evolve. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise.",leave,v1,GLOBAL,medium,"sick, leave, conversion, to, loss, of, pay"
P064,Leave During Probation,"This section describes the rules and practices related to leave during probation for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Employees are expected to review this clause before raising queries with HR. Exceptions may be granted only with prior written approval from the appropriate authority. Leave balances and related transactions will be visible in the Leave Management System (LMS). Employees are encouraged to plan planned leave well in advance to support project scheduling.",leave,v1,GLOBAL,medium,"leave, during, probation"
P065,Loss of Pay Definition,"This section describes the rules and practices related to loss of pay definition for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Managers should apply this rule consistently across their teams to avoid perceived bias. Leave balances and related transactions will be visible in the Leave Management System (LMS). Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Employees are encouraged to plan planned leave well in advance to support project scheduling.",leave,v1,GLOBAL,medium,"loss, of, pay, definition"
P066,Loss of Pay Procedure,"This section describes the rules and practices related to loss of pay procedure for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Leave balances and related transactions will be visible in the Leave Management System (LMS). Employees are expected to review this clause before raising queries with HR. Exceptions may be granted only with prior written approval from the appropriate authority.",leave,v1,GLOBAL,medium,"loss, of, pay, procedure"
P067,Blackout Periods for Leave,"This section describes the rules and practices related to blackout periods for leave for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Leave balances and related transactions will be visible in the Leave Management System (LMS). Employees are expected to review this clause before raising queries with HR. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Managers should apply this rule consistently across their teams to avoid perceived bias.",leave,v1,GLOBAL,medium,"blackout, periods, for, leave"
