query_id,query_text,gold_doc_ids,primary_policy_type,difficulty,scenario_group
Q041,"Hello, I wanted to check the company policy related to loss of pay procedure. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P038|P055,leave,medium,long_query
Q042,"Dear HR, I wanted to check the company policy related to leave application process. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P068|P022,leave,hard,very_specific
Q043,"Dear HR, I wanted to check the company policy related to annual leave eligibility. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P015|P010|P020,leave,medium,very_specific
Q044,"Hi, I wanted to check the company policy related to loss of pay definition. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P051,leave,hard,short_query
Q045,"Hi HR Team, I wanted to check the company policy related to casual leave utilization. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P034|P049|P014,leave,medium,very_specific
Q046,"Hi, I wanted to check the company policy related to annual leave eligibility. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P029,leave,very_hard,ambiguous
Q047,"Hi, I wanted to check the company policy related to annual leave encashment. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P018,leave,easy,ambiguous
Q048,"Hi, I wanted to check the company policy related to approval workflow for long leave. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P013|P070,leave,medium,very_specific
Q049,"Hi, I wanted to check the company policy related to final settlement leave encashment. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P070|P187|P020,leave,very_hard,short_query
Q050,"Hi, I wanted to check the company policy related to leave during probation. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P036,leave,hard,long_query
Q051,"Hi HR Team, I wanted to check the company policy related to annual leave carry forward. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P031|P013,leave,hard,ambiguous
Q052,"Hello, I wanted to check the company policy related to leave during probation. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P036|P016,leave,very_hard,short_query
Q053,"Hi HR Team, I wanted to check the company policy related to sick leave conversion to loss of pay. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Appreciate your guidance.",P007|P033,leave,medium,long_query
Q054,"Hi HR Team, I wanted to check the company policy related to use of common areas and meeting rooms (general). I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P186|P030,leave,hard,long_query
Q055,"Hi HR Team, I wanted to check the company policy related to casual leave entitlement. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P019|P181,leave,hard,long_query
Q056,"Dear HR, I wanted to check the company policy related to annual leave carry forward. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P017,leave,hard,long_query
Q057,"Hi HR Team, I wanted to check the company policy related to loss of pay definition. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P023|P007,leave,medium,very_specific
Q058,"Hello, I wanted to check the company policy related to casual leave entitlement. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P061|P047|P067,leave,easy,very_specific
Q059,"Hi, I wanted to check the company policy related to blackout periods for leave. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P067|P059,leave,easy,short_query
Q060,"Hi HR Team, I wanted to check the company policy related to approval workflow for long leave. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P055,leave,very_hard,very_specific
Q061,"Dear HR, I wanted to check the company policy related to final settlement leave encashment. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P042|P009,leave,medium,ambiguous
Q062,"Hi HR Team, I wanted to check the company policy related to internal communication guidelines (general). I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Appreciate your guidance.",P187|P059,leave,very_hard,short_query
Q063,"Hi, I wanted to check the company policy related to final settlement leave encashment. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P056|P030|P053,leave,hard,very_specific
Q064,"Dear HR, I wanted to check the company policy related to approval workflow for long leave. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Appreciate your guidance.",P013|P056,leave,hard,ambiguous
Q065,"Hi HR Team, I wanted to check the company policy related to casual leave entitlement. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P061,leave,easy,short_query
Q066,"Hi HR Team, I wanted to check the company policy related to approval workflow for long leave. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P013|P018,leave,easy,ambiguous
Q067,"Hi HR Team, I wanted to check the company policy related to annual leave encashment. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Appreciate your guidance.",P046|P007|P037,leave,hard,ambiguous
Q068,"Hi HR Team, I have a question about remote work misuse and disciplinary action. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P090|P100|P084,remote_work,hard,ambiguous
Q069,"Dear HR, I have a question about remote work during critical onsite days. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P099|P074|P106,remote_work,easy,long_query
Q070,"Hi, I have a question about remote work from another state. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P114|P071,remote_work,medium,long_query
Q071,"Hi, I have a question about remote work during critical onsite days. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P089,remote_work,easy,long_query
Q072,"Dear HR, I have a question about remote work during critical onsite days. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P129|P091,remote_work,hard,ambiguous
Q073,"Dear HR, I have a question about use of co-working spaces. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P077|P092,remote_work,easy,short_query
Q074,"Hi HR Team, I have a question about remote work from another country. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P125|P128|P124,remote_work,hard,long_query
Q075,"Dear HR, I have a question about maximum remote days per month. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P126,remote_work,hard,very_specific
Q076,"Hello, I have a question about remote work during critical onsite days. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P099|P078|P071,remote_work,medium,ambiguous
Q077,"Hi, I have a question about remote work outside home city. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P103|P113,remote_work,easy,short_query
Q078,"Hi HR Team, I have a question about remote work outside home city. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P093|P120,remote_work,medium,ambiguous
Q079,"Hi, I have a question about maximum remote days per month. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P076|P073|P130,remote_work,easy,ambiguous
Q080,"Dear HR, I have a question about remote work from another state. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P124|P085,remote_work,very_hard,short_query
Q081,"Hello, I have a question about remote work during critical onsite days. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P129|P082,remote_work,very_hard,short_query
Q082,"Dear HR, I have a question about remote work within home city. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P122,remote_work,very_hard,ambiguous
Q083,"Dear HR, I have a question about remote work outside home city. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P113|P080,remote_work,easy,long_query
Q084,"Hello, I have a question about remote work during critical onsite days. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P089|P084,remote_work,medium,ambiguous
Q085,"Hi, I have a question about remote work misuse and disciplinary action. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P090,remote_work,medium,very_specific
Q086,"Hi, I have a question about remote work within home city. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P112|P090,remote_work,very_hard,short_query
Q087,"Dear HR, I have a question about remote work during critical onsite days. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P109|P078,remote_work,hard,short_query
Q088,"Dear HR, I have a question about vpn and security requirements. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P128,remote_work,easy,ambiguous
Q089,"Dear HR, I have a question about remote work within home city. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P082|P189|P076,remote_work,very_hard,long_query
Q090,"Dear HR, I have a question about employee engagement activities (general). In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P193|P078,remote_work,very_hard,short_query
Q091,"Hi, I have a question about employee engagement activities (general). In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P193|P076,remote_work,medium,very_specific
Q092,"Dear HR, I have a question about use of co-working spaces. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P117|P107,remote_work,very_hard,very_specific
Q093,"Hi, I have a question about remote work outside home city. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P113,remote_work,hard,short_query
Q094,"Dear HR, I have a question about remote work outside home city. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P103|P114,remote_work,easy,long_query
Q095,"Dear HR, I have a question about remote work eligibility. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P121|P081,remote_work,hard,very_specific
Q096,"Hi HR Team, I have a question about company social media guidelines (general). In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P196,remote_work,very_hard,ambiguous
Q097,"Hello, I have a question about remote work misuse and disciplinary action. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P110|P098,remote_work,hard,very_specific
Q098,"Hi HR Team, I have a question about vpn and security requirements. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P088|P080,remote_work,hard,short_query
Q099,"Hi, I have a question about use of co-working spaces. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P087|P091|P092,remote_work,medium,long_query
Q100,"Hi, I have a question about remote work outside home city. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P123|P101,remote_work,very_hard,ambiguous
Q101,"Hi, I have a question about remote work eligibility. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P101|P190,remote_work,medium,ambiguous
Q102,"Hello, I have a question about use of co-working spaces. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P107|P194|P125,remote_work,medium,long_query
Q103,"Hi HR Team, I have a question about use of co-working spaces. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P077|P119|P085,remote_work,easy,ambiguous
Q104,"Hello, I have a question about remote work from another country. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P105|P195|P089,remote_work,very_hard,short_query
Q105,"Hi, I have a question about remote work from another country. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Please let me know what the policy says.",P115,remote_work,very_hard,short_query
Q106,"Dear HR, I have a question about remote work eligibility. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P101|P081|P119,remote_work,medium,short_query
Q107,"Hi, I have a question about remote work outside home city. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P113|P088,remote_work,easy,ambiguous
Q108,"Hello, I have a question about company social media guidelines (general). In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P189|P071|P081,remote_work,easy,ambiguous
Q109,"Hi HR Team, I have a question about company social media guidelines (general). In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P196|P085|P107,remote_work,medium,ambiguous
Q110,"Hi HR Team, I have a question about remote work eligibility. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Appreciate your guidance.",P101|P130|P079,remote_work,easy,very_specific
Q111,"Hello, I have a question about remote work during critical onsite days. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P089|P126,remote_work,easy,ambiguous
Q112,"Hi HR Team, I have a question about remote work from another state. In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Looking forward to your clarification.",P094,remote_work,hard,short_query
Q113,"Dear HR, I have a question about company social media guidelines (general). In the coming weeks I may need to work from a different location, possibly outside my home city, and I want to understand what the rules are about remote work duration, approvals, and any limitations. Can you clarify how flexible the policy is? Thanks in advance.",P189,remote_work,very_hard,ambiguous
