airline_sentiment,clean_text
positive,nicest gate attendant newark airport gate right multiple delays pleasant
neutral,clients hr layover iah day claim amp recheck luggage taken care
neutral,flight thx
neutral,start service hawaii sanfrancisco year biztravel
positive,awesome flight morning aa awesome crew landed early
positive,bluemanity brought tears eyes jetblue s commitment giving crewmembers community aww inspiring
neutral,copy flight showing original time delay need work thanks
neutral,control weatherflight attendantcan control thisgreen acu bag hrs amp counting yep thats
negative,nope rebooked
negative,hold reserve award travel hrs home crazy weather issue
neutral,listen im gonna deny rt fleets fleek
negative,im sorry straying going ive learned lesson attendants need sw happiness
negative,discount delays
positive,statement wasnt sent yesterday like jeanine said called night excellent service
positive,thank thank thank
negative,wife trying group clients destination just got disconnected hours holding help
neutral,start xweekly b flights neworleans cancun maysep avgeek
positive,cool thank
neutral,sure follow sec
positive,huge thanks crew flight flew dca sju monday night snow plane
negative,impressed customer service unhelpful incredibly rude
positive,thanks making good s cancelled flightled flight
negative,stopped flying yr ago bc aggressive policy carryon listening pssngrs forced chknotcomingback
positive,im wearing truebluecolors
positive,big shoutout crews bosgtjfk amp jfkgtroc amp gate crews c bos amp jfk long day delays better
negative,whats pricing cache book flight refreshed page amp price jumped ridiculous
neutral,look capture uvf
neutral,s updated power outlets seatback tvs flying ord tokyonarita th
neutral,fleets fleek
negative,reply email sent th february sent email asking acknowledgment thats recieved
negative,guys need better communication
negative,horrible service wrong plane arrived confirmed passengers flight paid lack seats flight
positive,excellent love guys class ill hug yall shortly
negative,installed working kicked hour wouldnt let wasted hours
positive,match americanairlines status cool
negative,team home luggage wet partly damaged happy blizzard
negative,voucher hotel useless number say rooms available expect
positive,ok thank
positive,thatd nice hoping rack miles trip seattle enjoy perfect latte city coffee
neutral,just realized luv voucher expired today chance getting luv extension veryloyalcustomer
negative,rats thats bummer
positive,guys continue impress houston
positive,flight phx lax wheels stop glad home thanks professionals cabin
negative,worst customer service line ive called times today able talk real human
positive,control weather came great customer service
neutral,gives positive outlook sees increased competition
positive,thanks idk late flight hope tonight
positive,guy flight attendant flight hilarious
neutral,check st graders school science fair project loves flying southwest airlines
positive,message sent thank
negative,wont waive fee neptune use credit wo paying fee destination use tic waivethefee
neutral,night tribute soundofmusic oscars think agree
negative,literally worst flying experience life flown lot
positive,thank
neutral,hi attach aa ff lxa reservation ekvm thansk
positive,thank help
negative,feel sorry aa
negative,going nightmare guys yesterday zero response tweet sent
positive,ill check appreciate response regardless
neutral,monkey business luv swa mdwmci homeandreadyfornexttrip
positive,staff efficient got solutions just freaked little limbo air
negative,just tried log told email log currently available
negative,thanks really minute wait times ive x thats minute wait times
negative,lipstick pig pig ur new baggage claim sju disaster chairs mins wait baggage fail
neutral,team offer inflight access journal digital journal
positive,appreciate replies
neutral,thanks concern contact customer care return australia
negative,direct phone number status match desk really regret flight booking problems
neutral,flight love field sfo definitely cancelled flightled monday february
negative,missed ktm flight ur cancelled flightlation mike supervisor disgusting day late flight apology upgrade offer lhr ord
positive,great trip today thanks crew flying home fantastic
neutral,does mean ktn reservation
negative,care explain going
positive,tfw appreciate tweet unexpected
neutral,based suggestions passengers rental car standby way leaving
negative,getting bit ridiculous miss days work pay cabs forth
neutral,guys need pillows rockers really knock park just sayin
negative,hours agent waiting
neutral,deplane change planes
positive,thank help pick bags aspen airport amp coming today flight
negative,fine left message told hours havent heard
positive,admit app good lots useful func live seat map congrats
negative,minutes waiting skis unloaded ashamed morning
negative,rebooked bus portland maine boston told united does cover charge
negative,lesson wait passengers connecting flights shame
positive,adore looking forward flight austin weeks
negative,thought mosaic member perks best instead checking extra lbs im carrying
neutral,possible add known traveler number ticket flight booking problems
positive,favorite way travel thank
negative,shame choosing united difference reuniting aging friends seeing poorservice
neutral,fleets fleek smh
negative,did shes waiting callbackthe lack follow whats concerning smh
neutral,hi set flights year dublin
neutral,mexico international
positive,used fly southwest
negative,u cud answer plenty inflight stealing going right amp fa wont uncomfortable convo w pass
neutral,fleets fleek refrain want say
negative,ticketing lines las vegas unorganized mass craziness half ticketing stations unmanned
positive,appreciate reply rt sorry waiting laura agent shortlycb
negative,need help im moving dc amp want book way fare website wont let missing
negative,gabriela miami rude employeeworking mialga check experience unpleasant customerexperience
negative,yep thats correct got email flight cancelled flightled doesnt matter flight atl delayed thx
negative,customer service rude bothered calls idea going sighed heavily phone unbelievable
neutral,hi flying domestic sea hnl pay use lounge fly just international thanks
positive,jetblue permissions world im missing oscars right awful whyabcwhy
negative,train flight attendants manners decency
neutral,just know complain rt reminder tweeting
positive,captain flight phxphl tonight hilarious greetings pointy end airplane haha thanks
positive,thanks better gate agent c charlotte boarding flight
negative,did tell luggage stayed inside plane look video
negative,charged way baggagefind leaving pittsburgh equipment werent charged just hung
positive,excited saw fly ionlyflyblue
negative,asked stewardess disinfectant wipe trash said hands badservice
negative,happened u home day flydelta flysouthwest flyjetblue theyareallbetter stillnobags
positive,like inflight snacks im flying guys jvmchat
neutral,need email customer service help question provide email address
positive,pulling runway making new friends seat mates thanks response cb
neutral,raise dispute cc provider hopefully clear
negative,free check bag food comp flying credit help im additional dollars hole
positive,thank kindly
neutral,snowboard boot bag included standard checked baggage snowboard bag
neutral,im dallas chance catching boston need run gate d
neutral,question wife didnt bonus today
positive,thank calling cheapoairchat
negative,rushed degree weather airport time bad pilots didnt stillwaiting
negative,letting runway mechanical problems wewantcomps
negative,im hold youre wondering hours minutes counting servicefail onholdforever suboptimal
neutral,sprinted c concourse e just coughed lung process clt tnx
positive,pieces safely delivered home afternoon
positive,thanks
positive,thank
positive,thanks following think fair refund ticket price way rental cars buy
neutral,stop trying make fleek happen pointsme
negative,frustrating especially knows issue
positive,thanks jb
neutral,guys flight today book laguardia louisville ky
negative,inconvenient convenient word
positive,able moon flight just got hotel puerto rico thank
negative,upset lack communication weve received time flight mco
neutral,recruiting fall spring internships pm davidson auditorium jsom utdallas
positive,id like thank recognize terri p dulles going way raleigh flight
negative,having trouble reflight booking problems cancelled flighted flight picking phones site isnt working
negative,switched fly united delta past trips disappointed ua delayed hours
positive,think great people working
neutral,possible upfare p segment gpu waitlisted
negative,hours minutes just want know im queue
positive,thank
negative,jetway felt disrespectful treated way particularly trying good c
neutral,u better define plus smaller type item carry requirements small backpacks
neutral,youll hearing sure
positive,fly issues
negative,sell tickets terrible service ua staff reach silver
positive,think best class gotten denver lax wonderful
neutral,wrote evoucher number got rid voucher purchased air fair
positive,thanks gate agent extraordinaire seau fong helping rebooked boise hopefully home nyc tonight
negative,know customer service ill make sure knows
neutral,companion pass
neutral,lets just say idontwannalivewithoutyourlove itwasminttobe bestinclasssocial thankyou travel business
negative,nd february row stranded try return cancun contact info way rebook badcustomerservice
neutral,willing help surprise bestfriend tickets destinationdragons gracias
negative,given number elite usair aa waited hours answer seat gone
neutral,follow
neutral,booked award tix thaiairways im seeing conf just united flight booking problems thai
negative,just let employees know good service kind attitude customers vital kind business thanks
positive,work major airline love black history month commercial thank
neutral,whats layover canada ua scheduled
neutral,hi phone number ring uk regarding claim late flight flight departure claim agreed just
positive,thanks
neutral,trip warm island
negative,spoke line unwilling help really poor support hitawall
positive,booked tickets august thth wait vacation
positive,just went helpful
positive,thanks use extra time shopping did somebody say duty free
negative,guys fuck forgive
neutral,flight lga dfw time
positive,thanks time united lounge felt welcomed
negative,im trying cancelled flight flight hr window hold hour alternate dial
neutral,having issue finding missing item plane help airport plane headed
positive,terry hero got husband security retrieve cellphone left plane austin terry u rock
negative,need change ticket res changed online high volumecan u help
neutral,expecting delays dfw tomorrow morning
neutral,im flying instead free credits actually work
neutral,want updated whos wearing amp whos amp wins nice like
negative,jfk closed tryna ft lauderdale flight just want home nyc
negative,come delayed hrs flight waited pilot come boston reassign endless trip
positive,thanks help u r amazing
neutral,real shit nigga north dont play
positive,love guys pls direct routes las aus
negative,bewhat issucks fail
negative,yes computer allow san diego quick customer service help says rebook
positive,min response time im impressed im official trueblue jetblue gets social
neutral,air
positive,left ipad seat pocket filed lost item report received exactly week late flightr record unbelievable
neutral,thank
neutral,need receipt asap help
negative,costa rica missing pura vida
negative,lost bags cancelled flightled flights delhi centers poor united staff spread stressed
negative,delay flight bdl mco need florida amp races daytona
negative,free flights life id choose purchase tickets competitor
positive,mellani b team columbia sc absolute superstars incredibly helpful
positive,just tminus minutes elevate silver upgrade window opens freeneversucks
positive,relaxing space drink flight global lounge
negative,letting dm fszyo
neutral,want book multicity fare miles flights option pay st flight miles nd ump visa thanks
positive,thanks
negative,youve officially displaced better flight experience pleasant cabin crew timeliness ua m switching
positive,great thank lets hope notify flight leaves jfk thank
positive,dmd confirmation code thanks help mommy daddy kids appreciate
neutral,just sent dm details
neutral,writing service email company transports clients monthly sw
neutral,lol k fleets fleek
negative,bad mood havent angry spagnuolo coached rams
neutral,partnership hawaiian live earn hawaiian miles flying jetblue add jb flight booking problems
neutral,ahold reservations supervisor
positive,thanks follow appreciate
neutral,expect delays dca departure going orlando flight
neutral,received reservation checkins different flights flight tomorrow morning need assistance asap
neutral,prebook flight wifes th bday recently surgery travel wont let place
neutral,people shown
neutral,opal dragon book dragon ali woven murdering ways philippines australia
neutral,flight dfw lit way pdx tomorrow cancelled flighted help
negative,flight attendants talked loudly throug flight lights dimmed resulting sleep
negative,honeymooni paid extra business sitting bride bumped status disgusted
negative,minutes hold waiting ridiculous
negative,appreciates sass gate agent gate c lga flight irritated customers
positive,thank
positive,getaway deals oneway lots cool cities cheapflights farecompare
positive,far good just stepped denver stop portland
positive,u real mvp
positive,amazing customer service definitely fly guys instrument involved
negative,united flight time americanisbetter
neutral,just heard monterey airport closed fog updates
negative,thanks reaching seat hard cushion ok short flight btw ua flight crew great
neutral,switch seat trip sunday
neutral,download jeokoo american app air travelers
neutral,exactly
neutral,larry david works southwest
negative,rtbgtiah class wife global services headaches neighbors smoking e cigarettes contact pls
positive,thanks b day concert watched noticed fist bumphigh end rock version
positive,baggage check flight crew friendliest flight ogg lax
negative,im flying plane getting stuck drift hours weather issue
negative,change fee request month ago hour phone team im told day backlog awful
neutral,said
neutral,checked email file correct
negative,help reservation phone
positive,thank glad heading home great people center
negative,weve lost day honeymoon disappointed frustrated
neutral,bangkok just days spend husband mid deployment leave like asap
negative,come shuttle bus lga ewr electrical power outlets new airbus interiors whyjeff
negative,shits gotta stop rt fleets fleek
positive,michelle t ord train staff treat customers refreshing pleasure deal
negative,dtv doesnt work pilots late flight wont let yr old fly paid upgrade unitedsucks
negative,customer service atrocious disrupted travel plans lost luggage impossible talk human
positive,love service cheap upgrades american provides best airlines good food good seats amazing thanks
neutral,storage container like green acceptable check luggage gal totes
negative,refund request functionality brokeni time error
negative,gate c iad u released passengers board wothers deplaning peopleon bridge flight board
positive,good morning sunshine tailfinthursday
neutral,research buddy read previous tweets context
positive,best follow
positive,lol guys months ago fleets fleek
neutral,really
positive,fine automatically changed connecting flight wouldnt miss work
negative,broken light mins bridge gate airplane parked wrong bathroom emptied nightyour airline hrs
negative,having issues online checkin colleague getting webpage available submitting online form
positive,definitely trip remember ewrsti second season seat pays loyal
neutral,pm flight phl sat snow expected able switch earlier flight penalty
neutral,u r horriblewent online cancelled flight flightno buttonthatcalled cs ampwait time minsampput calledampit hungupnohelp
neutral,whats deal u provide voucher overnight cozy floor ohare gross helpmeplease anyonethere
positive,love planes follow amazing bussines
negative,sent conf number yesterday
neutral,fleets fleek happened
positive,flights cancelled flighted trip refunded difficulty staff extremely helpful complaints way handle bad weather
positive,stewardess really funny gent use headphones perfect flight
positive,seeing workers time time going love flying guys thank
neutral,course supposed say logan login
positive,oh gosh going dm thank
neutral,yes paper voucher got january th
neutral,just did thank
negative,late flight
neutral,depart washington dc
neutral,unitedairlines way ord abq anytime hours
negative,nightmarish customer service elite member im appalled
positive,thank wasnt sure know limit ozs excited fly jetblue
positive,great idea cometoaustin
negative,fucking suck
negative,retrain customer service make proper adjustments cancelled flightling flights mistakes
positive,awesome thx thx replying damn fast sure hell beats s cheeze hold music
positive,awesome new plane flight
negative,hold mins cancelled flight reservation assist
neutral,s ceo battles appease passengers wall street
positive,glad know ill flying luv airline tomorrow
positive,hot stewardess flipped
neutral,scheduled depart scheduled
negative,finally boarded looks like ill make final destination baggage wont baggagefail bagsflyfreebutnotwithme
neutral,um just hanging whats new w
neutral,dont
neutral,hi phone number reservations venezuela thanks
positive,wouldnt mind paying snacks tix great job guys
negative,tell cancelled flightled flight vs delay
negative,airline causes missed connection u think steps remedy screw
positive,flight attendants really funny sass giving life
positive,thanks finally got afternoon
negative,delay communication
positive,glad hear thanks sharing video jetblue bff
neutral,thank flight hold cancelled flights
neutral,sfo clearvision tvu united terminal sfo airport
positive,cyndi amp troy gold star
neutral,ktn showing boarding tsa precheck applying boarding pass
neutral,lauren im screakjmf
neutral,help regarding flights kphl appreciated
positive,thanks responding
negative,sitting runway phl min correct weights flight arent jobfail
positive,tickets vegas love imagine dragons
negative,plus horrible seating poor customer service ive flown away mileage programhorrible
positive,haha youre doing right dont change thing slash twitter engagement just makes cooler bestairline
neutral,formally requests establish customs facilities international flights
negative,expect
negative,im trying check ct flight tmm desktop website working sort caching bug sos
positive,exciting times ahead
neutral,tell dfw weather advisory rdu does entire state nc shut ice amp snow
positive,customer service finest
negative,called times redeem mile points advertise miles make hard use
neutral,book town fares way restr
neutral,control weather las vegas
negative,right email write
positive,live southwest imagine dragons favorite band met bestfriends thanks amazing
negative,ya u werent sitting plane
negative,responded various requests contact numbers does know uk customer service number unitedairlines
neutral,does obtain companion pass
negative,did pm bag
neutral,vegas
positive,thank
positive,thanks taking home today despite pandoras best efforts cancelled flight flight jetblue backhome noplacelikehome
neutral,status flight stlaus
positive,love airline thanks service great snacks amazing outstanding thanks
negative,record denver concourse prior gettin shuttle just want confirm location
negative,double booked spoke cs weve got plan fix amateur mistake happen
positive,youre early frontrunner best airline oscars
neutral,explain come free upgrade exe plat exit row seating wout paying confused
neutral,dollar laxlas fares
negative,cancelled flightled flight weather flying just fine compensation resolution incompetent
neutral,yall got prices low
negative,said time doesnt weeks reply email
neutral,w edits dear mbas need better benefits work meet
positive,know lot baggage want know really enjoyed inside jetbae
negative,messaged requested called baggage team newark help let know steps
positive,thanks reply hoping cleared charlotte monday
negative,rebooked didnt notified cancelled flightled
neutral,whats current checked bag price policy fly coming week definitive
negative,company actualy people weird situationsyour hostel voucher fakesnow ok lies
neutral,flight book fly standby allow check flight takes
neutral,thank quick response dm follow
neutral,dc thinking summer new nantucket service digital journal
positive,im looking forward watching oscars flight home tomorrow bubbly drink
positive,got able switch flight charge thank
positive,feels like good day fly thanks ontime departure sna bestinclass ft takemehome
negative,reservation hold wish hold thats possible phone issues americanair
negative,exactly leave note
positive,thanks great stuff imagine jammed
positive,thank
negative,just thing u guys shouldnt charging drinks transatlantic flight
negative,received voucher want improve relations passengers
neutral,
positive,best follow
positive,great trip past week vegas work pic southwest southwest
positive,finally integration w passbook great valentine gift better chocolate flight heart
positive,chairs use tlc power outlets area bonus headed
positive,thank responsive twitter truly impressive
positive,love companion flightplease thank
negative,patient let string tweets showing people bad business
positive,met customer service arrival flight ua pvdiad thanks guys really handled storm
negative,good know sets travelers just mins standing waiting mins pass
neutral,tickets atlanta ill roadtrip canada deal
positive,loveluv addition passbook option
negative,email address send issue guys screwed rebooked flight wrong day help
negative,rude customer svc wont accommodate earlier flight wo charge mail takes priority customers badservice
negative,look people tryn sleep airport shitty company comping rooms cxl flight
positive,flyfi thank seattle udub come
positive,family excited
negative,flight fll told train pbi car trains pbi
positive,mad called bag number person helpful told bag really
neutral,oh atlanta
neutral,good morning wondering pretsa check boarding pass morning
positive,thanks reply flight
neutral,assist current flight status flt dfw tomorrow
positive,thank thanks accommodating
neutral,click lounges tab need flying supported sa airline
negative,minutes arrival bags people ua den ewr long wait ual rep comes
neutral,sent email customerrelationscom work
neutral,yesterday flight wanted chicago sale points range today isnt way guys honor
negative,right use shuttle ticket lga bos shuttle flight probably gonna miss pm
negative,whats wrong plane flt
positive,cool best airlines company hooked tickets vegas
neutral,sure im running version
neutral,want badly dont know dm email help wmnlifecom
negative,line denver rebook weather issues better
neutral,os isnt controlled app new
negative,lots flights book site working ive phone waiting minutes
negative,gave hr minutes hold maybe people
negative,gonna deal dallas dc deal dc dallas sad
negative,worst airline
positive,thanks getting businessfirst priority tagged bag connecting flight ewr despite hour layover nice job
neutral,considering purchased st attempted use st believe fit parameters
neutral,land
neutral,deice taxing maybe makestoomuchsense shouldhaveflowndelta unitedsucks
neutral,check awesome bag flight carry decisions
positive,getting sorted thanks
negative,yep sent bag philadelphia instead miamii caught itthen told flight changed tomorrow wrong fail
positive,wish wouldve seen hours ago wanted tonight bad crying
negative,wish way theres problem wdeicingthree amp hour delay far amp sill sure taking
positive,thanks
negative,stuck ord united airplane lol upset terminal right
positive,awesome new plane flight extremely nice captain steve connolly
positive,love
positive,thanks appreciate prompt response
positive,thanks good safely soon
positive,sent curious kind comp
positive,drink voucher flight winkwink
positive,thanks calling right
positive,tara g pat praise helpful phl member lounge
negative,assistance yesterday u cancelled flightled flight hotel hotline shame
positive,got new reservation tomorrow thanks
neutral,im mins wait
negative,sucks delayed moms flight x cancelled flightled delayed flight todayall mech issuesshe sleep airport
neutral,hope
positive,received bag appreciate taking care matter following
negative,flight delayed hours americanairlines counter tell husband flight help
neutral,seat flight ua
negative,waiting luggage flight delay
positive,awww r t realtime appreciation jetblue rockingthetweets jvmchat
neutral,bagage cabin dont need checkincorrect
neutral,order
positive,thank vouchers long wait runway saturday night bwi really appreciate swfan
positive,birthday destinationdragons im huge fan tickets
negative,link doesnt work mobile
positive,breathing heavily super helpful thank
positive,dont larry fedora rt fleets fleek
negative,travel tomorrow cancelled flightled stupidly rebooked tomorrow reservations
negative,hours late flightr im siting plane waiting leave think credit order terrible service
positive,omg omg nonstop dallas austin virgin
positive,awesome
negative,sitting gate flight hour computers backup plan place
neutral,lounge heathrow used
neutral,smh rt fleets fleek
negative,terrible
negative,time hrs passed got ticket wasnt fault pay extra
negative,iad jfk boarded whats todays excuse gonna work
neutral,guys offering nofee changes flights dca tomorrow afternoon
positive,thank literally called preboarding ran
negative,ok help bag lost honeymoon months ago responsible professional
positive,thank
positive,best way reunite true love shopping usas fashion capital newyork unitedvusa
negative,months straight travel ahead time new airline
positive,thanks keeping safe
negative,worst reps jacksonville airport rude totally helpful
neutral,dont abc inflight tv channel sharktank
neutral,
neutral,portland maine
positive,timed tweet just boarded listening way home
positive,leaving soon thanks
positive,reflight booking problemss days time united wait time lt seconds kudos excellent customer service
neutral,need change flight tuesday sooner attend ailing parent fl need help custserv
neutral,hi just dmd info
neutral,lacma fairfax
negative,sure video outsourced favorite timco knack doing substandard maintenance work aircraft
positive,happy finally southwestairlines boarding pass passbook makes life easier
positive,chance thanks keeping exec platinum
neutral,flight attendant announced transportation waiting flight think make
negative,rd cancelled flightlation days weather nashville trips airport time communicated late flight sw
negative,nd leg trip cancelled flightled hold hrs lose dont speak flight leaves
positive,best customer experience twitter huge fan
positive,thank doing best rebooked agent phone amp addtl resolution dm appreciated
positive,ill make sure hes thanks help huge race just trying make sure goes smoothly peace
neutral,flights id love redeem points theyre little year old historical limit
neutral,flight cancelled flightled
neutral,sorry didnt realize wasnt following
negative,hope wanted early flight avoid airport chaos late flight
negative,missed connection ua
positive,thanks used phone instead computer worked thx
negative,ua just admit clue flight leave denver unfriendlyskies
positive,love love love southwest rocks
negative,nope flight leaving pm believe paid money
neutral,yea saw im moving china bags pay wanted make sure ok bring
neutral,hopefully nashville open want come home today
neutral,decisions decisions wed love try service offer status match kp
negative,eventually explained weather conditions extreme luggage planes sent wont days
negative,talked manager offered pay xs cash originally paid nothanks jetblue ripoff flyunited
negative,customer feels like stick airlines jet blue travel work past years seen
neutral,received horrible service treated poorly richard p today excuse attitude amp ripping tickets
negative,like watch video loyal customers really treated asking explanation hour delay
neutral,open seats st class ua way honor upgrade policy freq flyers andor honor employee upgrade
positive,sounds like fun
negative,waiting bags flight yesterday class passenger happy service
neutral,bring reservation online using flight booking problems code
positive,managed sorted phone good luck dealing snow texas
positive,just talked reservation congratulation friendly good usair airline fly
positive,wonderfully nice agent austin helped wish remembered proper kudos
negative,considered time arriving destination half hour late flightr scheduled
positive,problem just follow thank
positive,thank just sent msg
positive,ceo gary kelly americas loved flown airline southwestrally bwi bestemployees swaculture swapic
positive,did good transcontinental flights h pleasurerelief
neutral,microsecond late flight sad
positive,thanks
positive,new apple crpe amazing live ua really nice crew americanair biscuits ua needs
neutral,hi booked flight yesterday received email w confirmation number today got error active flight segments
positive,hey sourhwest send atlanta fly southwest forever u guys best airline
neutral,obviously
neutral,yulord
negative,agents forced check carry bag received bag crew stolen u lost business
negative,phone number gate gave doesnt work customer service phone number
positive,beginning bluetiful relationship lifeneedsfrosting
neutral,haha figured meaning theres return flights charlotte like na week plus
negative,tell airline lost families business day age message twitter travels fast
positive,lovely
neutral,im going speak customer service airport tomorrow morning options need flight tomorrow
neutral,u help flights y old battling cancer needs treatment
positive,kind cool run boss man sfo
neutral,nice expanding texas dont forget sandiego love flights
neutral,news departure flight ua
neutral,bringing guitars bring carry
neutral,announces new nonstop connecting amp intro
neutral,way record flights ive taken
negative,tonight got hotel hrs traveling reaching destination disappointed thanks
positive,u imagine pilot particularly touched gesture let fo know keepingtraditionsalive
positive,staff deck cabin ua sfo gt bos exceptional today tell
neutral,thats happens power level goes feet air
neutral,watch oscars jfkgtsfo flight
positive,soon article thanks tom
positive,appreciate thank
positive,suck youre best
positive,thanks touch
positive,kax premium hoping flight better food tv know work service tnx
positive,oh gosh seriously just day week year appreciate
positive,jetblue disappoints
positive,thanks did motions shortly flight yesterday wonder quickly flight attendants notified
negative,aa airplane sitting hrsthere mechanical problemsbtwthe aa desk unorganized
negative,delayed twice cancelled flightedsent complaint email response need explanation pls notsatisfied smh unhappy
negative,people ua going miss connections long wait time sfo tarmac seriously u gate
positive,thanks great flight la boston pilots did great job landing snow la seriously
negative,real staff behave offensively flight look message want particulars
positive,exact flight love jetblue really want fly yall thats little pricey basic mint bos sfo
negative,mean employees really nice literally sobbed
positive,mosaicmecrazy sunrise bestairline nofilterneeded amp love flyfi
positive,hey dre seatac check needs raise stat dude gave amazing customer service feel valued
positive,landing anchorage way fairbanks
negative,customer service disgrace
positive,open seating like open marriage theres love strangers
negative,wife doesnt luggage promised pm said way file number dcam fail
positive,flight home dc sunset globe backtowinter work refreshed
neutral,knew gate correct time does gate open
positive,today family gets experience mosaic status w lifeisgood
positive,thats exactly point fits im premier access boarding group return ticket ive doing yrs
negative,sfo hnl zero entertainment systemsyouareonyourown
neutral,send confirmation email
neutral,snow st louis cold snow hub flights welcome
positive,great flight funflightattendants thanks showing dad wonderful customer service flt lax phx sundayfunday
negative,trying change flight online got error help dm
negative,loosing lot business using barclays believe apply card live iowa
positive,huge fan great brands people doing great things guys rock happy share love
positive,hope apart team job opening
positive,just asked boyfriend prom loudspeaker flight said yes best day thank u
negative,flight arrives minutes early wait hour bags
positive,thank response got resolved counter
neutral,follow send info
positive,yes minutes spare fyi employees amazing good work
negative,ridiculous clt missed connecting flight chuckhole runway shameful
negative,sit airport long periolodicly time planes nasty
negative,times count
negative,adding rr number stay hard wont rr number checkinout marriott phone cs helpful
negative,airway joke dealt worse service
positive,surprisingly quick response time thanks
negative,delayed flights missed connections class flights compensation losing seats
neutral,s ceo battles appease passengers wall street waterbury republican american
neutral,thank apology
neutral,trying make connection punta cana leave phl
neutral,using jetblue air miles
neutral,hi possible upgrade mint seat booked ticket thanks
positive,best airline want plane blue skies amp sea deliver promise
neutral,characters respond formal letter trust plenty say
negative,horrible cust service exp dia today wife waited hrs plane bf flight cancelled flightled waiting bags
negative,FALSE
neutral,birthday february th date imagine dragons flight concert btw
positive,tough choices did simultaneously business traveler best experience long time wishmyflightwaslonger
negative,overbooked sxmclt delayed deplaning extra passengers missedconnection forcedovernight clt lodgingfood disappointed
positive,big kudos staff today dallas love field lifting everyones spirits today delays cancelled flightlations
positive,weather mess south missed connection clt impressed cust serv phone reps today
negative,requested refund reward points used purchase flight refused
negative,hold hours answer really run business
negative,sean mind callplan hold hours
negative,hold hours cancelled flighted flight understand delay dont understand autoreflight booking problems tuesday help
neutral,just kidding ill send stuff thanks
neutral,hi tell todays flights chicago dia cancelled flightled thanks
negative,surely ways help really afford hours pls follow dm
negative,stuck sju hours answering really tough luv sw response bad
negative,karen unhelpful rude called united time amp told board karen accept
neutral,sure hope guys dc speak tomorrow amp amp im winning
neutral,merging miles complete wasnt month
neutral,got callback took care thanks
neutral,left recent flight today contact retrieve thanks
neutral,
positive,thing fella right today pacific time zone
neutral,think need follow dm
negative,costumer service today providence airport sucked recommend airline learn check weather honest
negative,adding reservation ios app doesnt desktop site logged miles redeemed upgrades app
positive,just received notification inflight wifi ua amazing
neutral,runways dfw flying late flightr today thanks
neutral,ill draw super sweet picture choosing roundtrip san diego cold
negative,oh did received email saying delays happen uh huh
