Question,Answer
how to prevent alzheimer's disease ?,"currently, no medicines or other treatments are known to prevent alzheimers disease, but scientists are studying many possibilities. these possibilities include lifestyle factors such as exercise and physical activity, a healthy diet, and mentally stimulating activities. in addition to lifestyle factors, scientists have found clues that some long-term health conditions, like heart disease, high blood pressure, and diabetes, are related to alzheimer's disease. its possible that controlling these conditions will reduce the risk of developing alzheimers. exercise and physical activity studies show that exercise and other types of physical activity are good for our hearts, waistlines, and ability to carry out everyday activities. research suggests that exercise may also play a role in reducing risk for alzheimers disease. animal studies show that exercise increases both the number of small blood vessels that supply blood to the brain and the number of connections between nerve cells in older rats and mice. in addition, researchers have found that exercise raises the level of a nerve growth factor (a protein key to brain health) in an area of the brain that is important to memory and learning. see suggestions for ways older adults can start or continue to exercise. diet and dietary supplements a number of studies suggest that eating certain foods may help keep the brain healthyand that others can be harmful. a diet that includes lots of fruits, vegetables, and whole grains and is low in fat and added sugar can reduce the risk of heart disease and diabetes. researchers are looking at whether a healthy diet also can help prevent alzheimers. one study reported that people who ate a mediterranean diet had a 28 percent lower risk of developing mci (mild cognitive impairment) and a 48 percent lower risk of progressing from mci to alzheimers disease. (mci often, but not always, leads to alzheimers dementia.) a mediterranean diet includes vegetables, legumes, fruits, cereals, fish, olive oil, and low amounts of saturated fats, dairy products, meat, and poultry. for more about healthy eating as you age , see eating well as you get older. other research has looked at the effect on brain health of several different vitamins and dietary supplements. one area of research focuses on antioxidants, natural substances that appear to fight damage caused by molecules called free radicals. other studies are looking at resveratrol, a compound found in red grapes and red wine, as well as vitamins and other substances found in food. chronic diseases age-related diseases and conditionssuch as vascular disease, high blood pressure, heart disease, and diabetesmay increase the risk of alzheimers. many studies are looking at whether this risk can be reduced by preventing or controlling these diseases and conditions. for example, one clinical trial is looking at how lowering blood pressure to or below current recommended levels may affect cognitive decline and the development of mci and alzheimers disease. participants are older adults with high systolic (upper number) blood pressure who have a history of heart disease or stroke, or are at risk for those conditions. diabetes is another disease that has been linked to alzheimers. past research suggests that abnormal insulin production contributes to alzheimers-related brain changes. (insulin is the hormone involved in diabetes.) diabetes treatments have been tested in people with alzheimers, but the results have not been conclusive. keeping the brain active keeping the mind sharpthrough social engagement or intellectual stimulationis associated with a lower risk of alzheimers disease. activities like working, volunteering, reading, going to lectures, and playing computer and other games are being studied to see if they might help prevent alzheimers. one clinical trial is testing the impact of formal cognitive training, with and without physical exercise, in people with mci to see if it can prevent or delay alzheimers disease. other trials are underway in healthy older adults to see if exercise and/or cognitive training (for example, a demanding video game) can delay or prevent age-related cognitive decline. find out about things you can do that may keep your brain healthy."
what are the treatments for alzheimer's disease ?,"medications can treat symptoms there is no known cure for alzheimer's disease, but there are medicines that can treat symptoms of the disease. most alzheimers medicines work best for people in the mild or moderate stages of the disease. for example, they can keep memory loss from getting worse for a time. other medicines may help behavioral symptoms, such as trouble sleeping or feeling worried or depressed. all of these medicines may have side effects and may not work for everyone. a person with alzheimer's should be under a doctor's care. he or she may see a primary care doctor or a specialist, such as a neurologist, geriatric psychiatrist, or geriatrician. the doctor can treat the person's physical and behavioral problems, answer questions, and refer the patient and caregiver to other sources of help. medications for alzheimers currently, no treatment can stop alzheimer's disease. however, four medications are used to treat its symptoms. these medicines may help maintain thinking, memory, and speaking skills for a limited time. they work by regulating certain chemicals in the brain. most of these medicines work best for people in the early or middle stages of the disease. for people with mild to moderate alzheimers, donepezil (aricept), rivastigmine (exelon), or galantamine (razadyne) may help. donepezil is also approved to treat symptoms of moderate to severe alzheimer's. another drug, memantine (namenda), is used to treat symptoms of moderate to severe alzheimers, although it also has limited effects. all of these medicines have possible side effects, including nausea, vomiting, diarrhea, and loss of appetite. you should report any unusual symptoms to a doctor right away. it is important to follow a doctor's instructions when taking any medication. scientists are testing many new drugs and other treatments to see if they can help slow, delay, or prevent alzheimers disease. learn how alzheimers medications work, how to take them, and where to find more information. managing behavioral symptoms certain medicines and other approaches can help control the behavioral symptoms of alzheimer's disease. these symptoms include sleeplessness, agitation, wandering, anxiety, anger, and depression. treating these symptoms often makes people with alzheimers disease more comfortable and makes their care easier for caregivers. see more about medications used to treat behavioral symptoms. some medicines must be used with caution. memory aids memory aids may help some people who have mild alzheimers disease with day-to-day living. a calendar, list of daily plans, notes about simple safety measures, and written directions describing how to use common household items can be useful. help for caregivers caring for a person with alzheimers can have high physical, emotional, and financial costs. the demands of day-to-day care, changing family roles, and difficult decisions about placement in a care facility can be difficult. sometimes, taking care of the person with alzheimers makes caregivers feel good because they are providing love and comfort. at other times, it can be overwhelming. changes in the person can be hard to understand and cope with. here are some ways for caregivers of people with alzheimers to get help. - ask family and friends to help out in specific ways, like making a meal or visiting the person while they take a break. - join a caregivers support group. - use home health care, adult day care, and respite services. ask family and friends to help out in specific ways, like making a meal or visiting the person while they take a break. join a caregivers support group. use home health care, adult day care, and respite services. for more information about caring for someone with alzheimers disease, see alzheimer's caregiving."
what research (or clinical trials) is being done for alzheimer's disease ?,"clinical research is medical research involving people. it includes clinical studies, which observe and gather information about large groups of people. it also includes clinical trials, which test a medicine, therapy, medical device, or intervention in people to see if it is safe and effective. clinical trials are the best way to find out whether a particular intervention actually slows, delays, or prevents alzheimers disease. trials may compare a potential new treatment with a standard treatment or placebo (mock treatment). or, they may study whether a certain behavior or condition affects the progress of alzheimers or the chances of developing it. see the latest alzheimers disease progress report to read about results of nia-supported alzheimers research."
how to prevent alzheimer's disease ?,"a number of studies suggest that eating certain foods may help keep the brain healthyand that others can be harmful. researchers are looking at whether a healthy dietone that includes lots of fruits, vegetables, and whole grains and is low in fat and added sugarcan help prevent alzheimers. for more information about healthy eating as you age, see eating well as you get older."
what is (are) alzheimer's disease ?,"alzheimers disease is a brain disease that slowly destroys memory and thinking skills and, eventually, the ability to carry out the simplest tasks. it begins slowly and gets worse over time. currently, it has no cure. alzheimers disease is the most common cause of dementia in older people. get more details about alzheimer's disease."
what is (are) alzheimer's disease ?,"alzheimer's disease (ad) is the most common form of dementia among older people. dementia is a brain disorder that seriously affects a person's ability to carry out daily activities. ad begins slowly. it first involves the parts of the brain that control thought, memory and language. people with ad may have trouble remembering things that happened recently or names of people they know. a related problem, mild cognitive impairment (mci), causes more memory problems than normal for people of the same age. many, but not all, people with mci will develop ad. in ad, over time, symptoms get worse. people may not recognize family members. they may have trouble speaking, reading or writing. they may forget how to brush their teeth or comb their hair. later on, they may become anxious or aggressive, or wander away from home. eventually, they need total care. this can cause great stress for family members who must care for them. ad usually begins after age 60. the risk goes up as you get older. your risk is also higher if a family member has had the disease. no treatment can stop the disease. however, some drugs may help keep symptoms from getting worse for a limited time. nih: national institute on aging"
what research (or clinical trials) is being done for alzheimer's disease ?,"the national institute of neurological disorders and stroke (ninds) supports basic and translational research related to ad through grants to major medical institutions across the country. current studies are investigating how the development of beta amyloid plaques damages neurons, and how abnormalities in tau proteins create the characteristic neurofibrillary tangles of ad. other research is exploring the impact of risk factors associated with the development of ad, such as pre-existing problems with blood flow in the blood vessels of the brain. most importantly, the ninds supports a number of studies that are developing and testing new and novel therapies that can relieve the symptoms of ad and potentially lead to a cure. on may 15, 2012 the obama administration announced the release of the national alzheimers plan. u.s. secretary of health and human services kathleen sebelius reaffirmed our nations commitment to conquering alzheimers disease and related dementias, with a specific goal of finding effective ways to prevent and treat the disease by 2025."
what is (are) alzheimer's disease ?,"alzheimer's disease has three stages: early (also called mild), middle (moderate), and late (severe). a person in the early stage of alzheimers may - find it hard to remember things - ask the same questions over and over - get lost in familiar places - lose things or put them in odd places - have trouble handling money and paying bills - take longer than normal to finish daily tasks. find it hard to remember things ask the same questions over and over get lost in familiar places lose things or put them in odd places have trouble handling money and paying bills take longer than normal to finish daily tasks. as alzheimers disease progresses to the middle stage, memory loss and confusion grow worse, and people may have problems recognizing family and friends. other symptoms are this stage include - difficulty learning new things and coping with new situations - trouble carrying out tasks that involve multiple steps, like getting dressed - impulsive behavior - forgetting the names of common things - hallucinations, delusions, or paranoia - wandering away from home. difficulty learning new things and coping with new situations trouble carrying out tasks that involve multiple steps, like getting dressed impulsive behavior forgetting the names of common things hallucinations, delusions, or paranoia wandering away from home. as alzheimers disease becomes more severe, people lose the ability to communicate. they may sleep more, lose weight, and have trouble swallowing. often they are incontinentthey cannot control their bladder and/or bowels. eventually, they need total care."
what is (are) alzheimer's disease ?,"alzheimers disease is a brain disease that slowly destroys memory and thinking skills and, eventually, the ability to carry out the simplest tasks. it begins slowly and gets worse over time. currently, it has no cure. a common cause of dementia alzheimers disease is the most common cause of dementia among older people. dementia is a loss of thinking, remembering, and reasoning skills that interferes with a persons daily life and activities. dementia ranges in severity from the mild stage, when it is just beginning to affect a persons functioning, to the severe stage, when the person must depend completely on others for basic care. estimates vary, but experts suggest that more than 5 million americans may have alzheimer's disease. alzheimers is currently ranked as the sixth leading cause of death in the united states, but recent estimates indicate that the disorder may rank third, just behind heart disease and cancer, as a cause of death for older people risk increases with age in most people with alzheimers, symptoms first appear in their mid-60s, and the risk of developing the disease increases with age. while younger people -- in their 30s, 40s, and 50s -- may get alzheimer's disease, it is much less common. it is important to note that alzheimer's disease is not a normal part of aging. the course of alzheimers diseasewhich symptoms appear and how quickly changes occurvaries from person to person. the time from diagnosis to death varies, too. it can be as little as 3 or 4 years if the person is over 80 years old when diagnosed or as long as 10 years or more if the person is younger. memory problems: one of the first signs memory problems are typically one of the first signs of alzheimers disease, though initial symptoms may vary from person to person. a decline in other aspects of thinking, such as finding the right words, vision/spatial issues, and impaired reasoning or judgment, may also signal the very early stages of alzheimers disease. people with alzheimers have trouble doing everyday things like driving a car, cooking a meal, or paying bills. they may ask the same questions over and over, get lost easily, lose things or put them in odd places, and find even simple things confusing. some people become worried, angry, or violent. other reasons for memory issues not all people with memory problems have alzheimers disease. mild forgetfulness can be a normal part of aging. some people may notice that it takes longer to learn new things, remember certain words, or find their glasses. thats different from a serious memory problem, which makes it hard to do everyday things. sometimes memory problems are related to health issues that are treatable. for example, medication side effects, vitamin b12 deficiency, head injuries, or liver or kidney disorders can lead to memory loss or possibly dementia. emotional problems, such as stress, anxiety, or depression, can also make a person more forgetful and may be mistaken for dementia. read more about causes of memory loss and how to keep your memory sharp. mild cognitive impairment some older people with memory or other thinking problems have a condition called mild cognitive impairment, or mci. mci can be an early sign of alzheimers, but not everyone with mci will develop alzheimers disease. people with mci have more memory problems than other people their age, but they can still take care of themselves and do their normal activities. signs of mci may include - losing things often - forgetting to go to events and appointments - having more trouble coming up with words than other people the same age. losing things often forgetting to go to events and appointments having more trouble coming up with words than other people the same age. if you or someone in your family thinks your forgetfulness is getting in the way of your normal routine, its time to see your doctor. seeing the doctor when you first start having memory problems can help you find out whats causing your forgetfulness. learn more about mild cognitive impairment (mci). what happens to the brain in alzheimers? alzheimer's disease is named after dr. alois alzheimer, a german doctor. in 1906, dr. alzheimer noticed changes in the brain tissue of a woman who had died of an unusual mental illness. after she died, he examined her brain and found many abnormal clumps (now called amyloid plaques) and tangled bundles of fibers (now called neurofibrillary, or tau, tangles). plaques and tangles in the brain are two of the main features of alzheimer's disease. another is the loss of connections between nerve cells (neurons) in the brain. neurons send messages between different parts of the brain, and from the brain to muscles and organs in the body. it seems likely that damage to the brain starts 10 years or more before memory or other thinking problems become obvious. during the earliest stage of alzheimers, people are free of symptoms, but harmful changes are taking place in the brain. the damage at first appears to take place in cells of the hippocampus, the part of the brain essential in forming memories. abnormal protein deposits form plaques and tangles in the brain. once-healthy nerve cells stop functioning, lose connections with each other, and die. as more nerve cells die, other parts of the brain begin to shrink. by the final stage of alzheimers, damage is widespread, and brain tissue has shrunk significantly. get more details about alzheimers disease."
what is (are) balance problems ?,"have you ever felt dizzy, lightheaded, or as if the room is spinning around you? if the feeling happens often, it could be a sign of a balance problem. balance problems can make you feel unsteady or as if you were moving, spinning, or floating. they are one cause of falls and fall-related injuries, such as hip fracture. some balance problems are due to problems in the inner ear. others may involve another part of the body, such as the brain or the heart. aging, infections, head injury, certain medicines, or problems with blood circulation may result in a balance problem. if you are having balance problems, see your doctor. balance disorders can be signs of other health problems, such as an ear infection or a stroke. in some cases, treating the illness that is causing the disorder will help with the balance problem. exercises, a change in diet, and some medicines also can help. nih: national institute on deafness and other communication disorders"
what is (are) balance problems ?,"have you ever felt dizzy, lightheaded, or as if the room were spinning around you? these can be very troublesome sensations. if the feeling happens often, it could be a sign of a balance problem. balance problems are among the most common reasons that older adults seek help from a doctor. in 2008, an estimated 14.8 percent of american adults (33.4 million) had a balance or dizziness problem during the past year. why good balance is important having good balance means being able to control and maintain your body's position, whether you are moving or remaining still. an intact sense of balance helps you - walk without staggering - get up from a chair without falling - climb stairs without tripping - bend over without falling. walk without staggering get up from a chair without falling climb stairs without tripping bend over without falling. the part of the inner ear responsible for balance is the vestibular system, often referred to as the labyrinth. to maintain your body's position, the labyrinth interacts with other systems in the body, such as the eyes, bones and joints. good balance is important to help you get around, stay independent, and carry out daily activities. learn how your body maintains its balance. when people have problems with balance as they get older, many people experience problems with their sense of balance. they feel dizzy or unsteady, or as if they or their surroundings were in motion. disturbances of the inner ear are a common cause. vertigo, the feeling that you or the things around you are spinning, is also a common symptom. balance disorders are one reason older people fall. falls and fall-related injuries, such as hip fracture, can have a serious impact on an older person's life. if you fall, it could limit your activities or make it impossible to live independently. many people often become more isolated after a fall. according to the centers for disease control and prevention, roughly more than one-third of adults ages 65 years and older fall each year. among older adults, falls are the leading cause of injury-related deaths. learn other ways a fall may affect an older adult's life. bppv (benign paroxysmal positional vertigo) there are many types of balance disorders. one of the most common is benign paroxysmal positional vertigo, or bppv. in bppv, you experience a brief, intense feeling of vertigo when you change the position of your head, such as when rolling over to the left or right, upon getting out of bed, or when looking for an object on a high or low shelf. bppv is more likely to occur in adults aged 60 and older, but can also occur in younger people. in bppv, small calcium particles in the inner ear become displaced and disrupt the inner ear balance sensors, causing dizziness. the reason they become displaced is not known; the cause may be an inner ear infection, head injury, or aging. labyrinthitis this is an infection or inflammation of the inner ear that causes dizziness and loss of balance. it is often associated with an upper respiratory infection such as the flu. mnire's disease mnire's disease is a balance disorder that causes a person to experience - vertigo - hearing loss that comes and goes - tinnitus, which is a ringing or roaring in the ears - a feeling of fullness in the ear. vertigo hearing loss that comes and goes tinnitus, which is a ringing or roaring in the ears a feeling of fullness in the ear. it affects adults of any age. the cause is unknown. see a fuller list of balance disorders. there are many ways to treat balance disorders. treatments vary depending on the cause. see your doctor if you are experiencing dizziness, vertigo, or other problems with your balance."
what is (are) balance problems ?,"a balance disorder is a disturbance of the body systems controlling balance. this disturbance can make people feel dizzy, unsteady, or as if they were spinning. balance disorders are a common cause of falls and fall-related injuries, such as hip fractures."
what are the treatments for balance problems ?,"mnire's disease is caused by changes in fluid volumes in the inner ear. people with mnire's disease can help reduce its dizzying effects by lowering the amount of salt (sodium) in their diets. limiting alcohol or caffeine also may be helpful. some medications, such as corticosteroids or the antibiotic gentamicin, also are used to treat mnire's disease. although gentamicin can help reduce the dizziness that occurs with mnire's disease, it occasionally destroys sensory cells in the inner ear, which can result in permanent hearing loss. corticosteroids don't cause hearing loss; however, research is underway to determine if they are as effective as gentamicin learn more about the treatments for mnire's disease."
what are the treatments for balance problems ?,"in bppv (benign paroxysmal positional vertigo), small calcium particles in the inner ear become displaced, causing dizziness. a doctor, otolaryngologist, audiologist, or physical therapist can treat bppv by carefully moving the head and torso to move the displaced calcium particles back to their original position learn more about causes and treatments for bppv. an nidcd-supported clinical trial in bppv showed that repositioning maneuvers work well, and offered clinicians a range of choices in selecting the treatment best suited to each individuals unique needs."
how to prevent balance problems ?,"an ear infection called otitis media can cause balance problems. otitis media is most common in children, but adults can get it, too. you can help prevent otitis media by washing your hands frequently. also, talk to your doctor about getting a yearly flu shot to stave off flu-related ear infections. if you do get an ear infection, see a doctor immediately before it becomes more serious. learn more about otitis media and other ear infections. (centers for disease control and prevention)"
what is (are) balance problems ?,"there are many types of balance disorders. three of the most common are bppv (benign paroxysmal positional vertigo), labyrinthitis, and menieres disease. bppv (benign paroxysmal positional vertigo) is one of the most common balance disorders among older adults. with bppv, you experience a brief, intense feeling of vertigo that occurs when you change the position of your head. you may also experience bppv when rolling over to the left or right upon getting out of bed, or when looking up for an object on a high shelf. in bppv, small calcium particles in the inner ear become displaced, causing dizziness. the reason the particles get displaced is not known, although it may result from an inner ear infection, head injury, or aging. labyrinthitis is is another type of balance disorder. the labyrinth is an organ of the inner ear that helps you maintain your balance. when the labyrinth becomes infected or swollen, it is typically accompanied by vertigo and imbalance. upper respiratory infections and other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. mnire's disease is a balance disorder that causes - vertigo - hearing loss that comes and goes - tinnitus, which is a ringing or roaring in the ears - a feeling of fullness in the ear. vertigo hearing loss that comes and goes tinnitus, which is a ringing or roaring in the ears a feeling of fullness in the ear. mnire's disease can affect adults of any age. the cause is unknown. see a fuller list of balance disorders."
what causes balance problems ?,"some balance disorders are caused by problems in the inner ear. the part of the inner ear that is responsible for balance is the vestibular system, often refered to as the labyrinth. when the labyrinth becomes infected or swollen -- a condition called labyrinthitis -- it is typically accompanied by vertigo and imbalance. upper respiratory infections, other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. other balance disorders may involve another part of the body, such as the brain or the heart. for example, diseases of the circulatory system, such as stroke, can cause dizziness and other balance problems. smoking and diabetes can increase the risk of stroke. low blood pressure also can cause dizziness. aging, infections, head injury, and many medicines may also result in a balance problem."
